ADDRES,BIT 6,BIT 5,BIT 4,BIT 3,BIT 2,BIT 1,BIT 0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1
2,0,0,0,0,0,1,0
3,0,0,0,0,0,1,1
4,0,0,0,0,1,0,0
5,0,0,0,0,1,0,1
6,0,0,0,0,1,1,0
7,0,0,0,0,1,1,1
8,0,0,0,1,0,0,0
9,0,0,0,1,0,0,1
10,0,0,0,1,0,1,0
11,0,0,0,1,0,1,1
12,0,0,0,1,1,0,0
13,0,0,0,1,1,0,1
14,0,0,0,1,1,1,0
15,0,0,0,1,1,1,1
16,0,0,1,0,0,0,0
17,0,0,1,0,0,0,1
18,0,0,1,0,0,1,0
19,0,0,1,0,0,1,1
20,0,0,1,0,1,0,0
21,0,0,1,0,1,0,1
22,0,0,1,0,1,1,0
23,0,0,1,0,1,1,1
24,0,0,1,1,0,0,0
25,0,0,1,1,0,0,1
26,0,0,1,1,0,1,0
27,0,0,1,1,0,1,1
28,0,0,1,1,1,0,0
29,0,0,1,1,1,0,1
30,0,0,1,1,1,1,0
31,0,0,1,1,1,1,1
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
